riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar school 2018,Wanita,34,Housewife,Menikah & sudah punya anak,10000000,5,2000000,Elpiji 3 kg,Ledeng meteran,Super high,SMA,Middle 1,8,2,3,13,Medium,Upper 2 [nielsen],,,,
ar school 2018,Wanita,41,Housewife,Menikah & sudah punya anak,15000000,6,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,34,Housewife,Menikah & sudah punya anak,20000000,7,2857142.857,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,9,4,4,17,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,34,Housewife,Menikah & sudah punya anak,6000000,4,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Housewife,Menikah & sudah punya anak,20000000,5,4000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,45,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,33,Housewife,Menikah & sudah punya anak,20000000,4,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,42,Employee/wage earner,Menikah & sudah punya anak,15000000,4,3750000,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,S1/S2/S3,Super upper,9,4,3,16,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,44,Housewife,Menikah & sudah punya anak,7000000,4,1750000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,35,Employee/wage earner,Menikah & sudah punya anak,20000000,3,6666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
