"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","episode"
"86","Fajar Aji Safaat","https://yt3.ggpht.com/a/AGF-l79VX3kzydt9klN6f_KIW_kfKPwpPDKpfaj_RQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD11myjp3szNIw26WuVHXIQ","UCD11myjp3szNIw26WuVHXIQ","-pOkyNvWwsk","DURASINYA JAHAT BANGET SIH, NGELEDEK YA? WIFI TETANGGA MASIH AKTIF KOK MIN, MAU NONTON DURASI PANJANG PUN SANGGUP! <U+0001F62D>","DURASINYA JAHAT BANGET SIH, NGELEDEK YA? WIFI TETANGGA MASIH AKTIF KOK MIN, MAU NONTON DURASI PANJANG PUN SANGGUP! <U+0001F62D>","TRUE","none","10","2019-11-08T05:14:38.000Z","2019-11-08T05:14:38.000Z",2
"87","Asteriasti Putri","https://yt3.ggpht.com/a/AGF-l79S9yEQEjTZT5fnlLnd3cLP8oZy5EZoR-YQUg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnEjfKwsu8IE3ujbVU6IYHg","UCnEjfKwsu8IE3ujbVU6IYHg","-pOkyNvWwsk","Yaampun, dari sekian banyak web series kayaknya ini bikin merinding. menurutku waktunya pas karena dari semenit itu aku bisa gampang belajar bahasa isyarat. Thank you Tropicana Slim","Yaampun, dari sekian banyak web series kayaknya ini bikin merinding. menurutku waktunya pas karena dari semenit itu aku bisa gampang belajar bahasa isyarat. Thank you Tropicana Slim","TRUE","none","7","2019-11-08T05:14:27.000Z","2019-11-08T05:14:27.000Z",2
"88","Mahadear","https://yt3.ggpht.com/a/AGF-l7-thxLyTJuaFkfFXBc_U9YbH25TnYfxk9SOig=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCjOoSMaJi2l9F68fgf8cwOg","UCjOoSMaJi2l9F68fgf8cwOg","-pOkyNvWwsk","Please dehh durasinyaa jangan ragukan kuota internet kamiiii","Please dehh durasinyaa jangan ragukan kuota internet kamiiii","TRUE","none","0","2019-11-08T05:12:27.000Z","2019-11-08T05:12:27.000Z",2
"89","Nisa Khoirunn","https://yt3.ggpht.com/a/AGF-l7_MD32uPy_PJu09S5s7WWEUgGHCTjg01vD6Lw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvh61pBAONDtrUf0micoZHg","UCvh61pBAONDtrUf0micoZHg","-pOkyNvWwsk","SEMENIT????<U+0001F62D>","SEMENIT????<U+0001F62D>","TRUE","none","1","2019-11-08T05:12:14.000Z","2019-11-08T05:12:14.000Z",2
"90","Asdar Hamzah","https://yt3.ggpht.com/a/AGF-l7_Ftz-ptEcSy9B0gVPH19ZMvCkyYLuw79CCBw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbD6CJB1GVryVPMtCFE9xdA","UCbD6CJB1GVryVPMtCFE9xdA","-pOkyNvWwsk","Rasa, kerap hadir tak terduga.","Rasa, kerap hadir tak terduga.","TRUE","none","0","2019-11-08T05:04:48.000Z","2019-11-08T05:04:48.000Z",2
"91","zianka ziljihan","https://yt3.ggpht.com/a/AGF-l78dBJRjJPHYU0BtzdadM5DqbiI9OIMzw1QEvg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5rQwI_h0JbxtjhKg44-s-Q","UC5rQwI_h0JbxtjhKg44-s-Q","-pOkyNvWwsk","Lucuuuu ishh suka, sumpahh dr dulu bikin web series ga penah la durasinyaa","Lucuuuu ishh suka, sumpahh dr dulu bikin web series ga penah la durasinyaa","TRUE","none","0","2019-11-08T04:47:23.000Z","2019-11-08T04:47:23.000Z",2
"92","Syerli Syerlimomba","https://yt3.ggpht.com/a/AGF-l78khegrBGfX_baAzettWycbe7MLWlXrLqeQEg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5WFL3-WFdJAXGuHlzyK2uw","UC5WFL3-WFdJAXGuHlzyK2uw","-pOkyNvWwsk","Tes","Tes","TRUE","none","0","2019-11-08T04:45:34.000Z","2019-11-08T04:45:34.000Z",2
"93","Bella Pardian N Allifiah","https://yt3.ggpht.com/a/AGF-l79t3t4IyRNWGAD8PAv8EyXzi4UTLAx9_StICg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQ8eraKDljEfDd6fz1IKiXg","UCQ8eraKDljEfDd6fz1IKiXg","-pOkyNvWwsk","Ganteengg","Ganteengg","TRUE","none","0","2019-11-08T04:40:14.000Z","2019-11-08T04:40:14.000Z",2
"94","Galuh Qori'ah","https://yt3.ggpht.com/a/AGF-l7-mfR_Xuk0myV0rSjiyvBpV3tL3rBOp78lDcw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtRmuSWaM76CtQkBF_n44bg","UCtRmuSWaM76CtQkBF_n44bg","-pOkyNvWwsk","SEMENIT:&#39;))","SEMENIT:'))","TRUE","none","0","2019-11-08T04:39:36.000Z","2019-11-08T04:39:36.000Z",2
"95","Mika Devirzha","https://yt3.ggpht.com/a/AGF-l79N_uVhVtkP8WHm9RvNE7XneUv2ptEscPfXvw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCRpho5ZLt12DcurZGeKGoZQ","UCRpho5ZLt12DcurZGeKGoZQ","-pOkyNvWwsk","Buat web series nya niatan dikit lah...<U+0001F622><U+0001F622><U+0001F622><U+0001F622>","Buat web series nya niatan dikit lah...<U+0001F622><U+0001F622><U+0001F622><U+0001F622>","TRUE","none","0","2019-11-08T04:35:41.000Z","2019-11-08T04:35:41.000Z",2
