"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","textOriginal","likeCount","publishedAt","updatedAt","episode"
"31","Andi Hermawan","https://yt3.ggpht.com/a/AGF-l7-wBl8WZX3MOdznUrIYdXB76L2Y8y87GjqD=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeIh_Gs2QtOWmf84WPniPfQ","apakah bisa bikin baper lebih dari sore?",2,2019-11-07 12:34:36,2019-11-07 12:34:36,1
"32","Katherin Kheren","https://yt3.ggpht.com/a/AGF-l7_DOi-FzBpr140F-xez4h_1gn9f7HttDx_ljw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7JZNJqloX7bzU0rW9q0tRA","satu menit aja sih videonya tapi tlg di upload tiap hari ya min ",0,2019-11-07 12:32:26,2019-11-07 12:32:26,1
"33","Murtini Hendri","https://yt3.ggpht.com/a/AGF-l7_kLbTrzGNv3orIlLK1wv_eZLLfH30i0rXD3A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJJxsC4VvT0d5CwuGNvKCIQ","keren nih iklan ada kesayanganku rizky melia",0,2019-11-07 12:31:46,2019-11-07 12:31:46,1
"34","Hari Santoso","https://yt3.ggpht.com/a/AGF-l78bjwYkUwlbRBdXSVKwO2J8GByjF1Tl0G3UVw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJ1EaBMtb1KfdTDeGmWsiZQ","amat pendek",0,2019-11-07 12:24:50,2019-11-07 12:24:50,1
"35","Lusi Lus","https://yt3.ggpht.com/a/AGF-l788Ai4YMVb_P1piXzEzvDtyQHvrCTmdvKlIEA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCAlI859VteElkq0tVYSKcJw","buffering nya 3menit nontonnya sekejap mata ",0,2019-11-07 12:21:18,2019-11-07 12:21:18,1
"36","Rita Lesta","https://yt3.ggpht.com/a/AGF-l79952GLj4XJb2PcLjdqzVP6G5uonEkICfgCCQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCTYNlc9NRlBwtyUIz0wyftQ","lamain lahh durasinya masa bentar doang ngeremehin kuota saya banget  ",0,2019-11-07 12:18:23,2019-11-07 12:18:23,1
"37","Hanny Salsabilla","https://yt3.ggpht.com/a/AGF-l79V9t31bjAdRSvolkz2Kr6HxPIisZuCGlQWIA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCdcBLC1h9HkxTp5Fy_iek_w","cara mengungkapkan bukan cuma mengucapkan u2661 ",0,2019-11-07 12:14:17,2019-11-07 12:14:17,1
"38","stephanus axel","https://yt3.ggpht.com/a/AGF-l79UM_cBM-ZcGYrELWtnpjuOqJ23IIo5lcxTsA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbrKcsMvuGY4WKrpzb9kOLg","keren nih  gasabar liat episode episode berikutnya ",1,2019-11-07 12:13:48,2019-11-07 12:13:48,1
"39","SETYA NOVANTOL","https://yt3.ggpht.com/a/AGF-l7879ZZDNBaK1mdW8Q931mJu_dwhEWF8Wxxc6g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyBoceFd-VLNCPOwDcosZHg","episode 1 ini mirip web series pada suatu hari yang biasa episode 1 juga",1,2019-11-07 11:45:33,2019-11-07 11:45:33,1
"40","Rully Ananda Putri","https://yt3.ggpht.com/a/AGF-l78h8rniNj6TgvcU2rtVuMB9z_DwHcRaPUtVhA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCHODQG1rYSOMfZooRyGNmzA","yesssss tropicana slim bikin webseries lagiiiiii",0,2019-11-07 11:36:48,2019-11-07 11:36:48,1
"41","fillyxia aurora","https://yt3.ggpht.com/a/AGF-l79K5aSqiNXKb-hUJrijeJuAbpI6c8RBbsgzOQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXmGmJga0ts48LwCXu-IBSQ","selalu sukaaa",0,2019-11-07 11:22:31,2019-11-07 11:22:31,1
"42","wika say hello","https://yt3.ggpht.com/a/AGF-l7_DUgRa6wkGNIjykmdmtXC1JTviNi3kp6j1pQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJAZgs30BKwZvHly5fGJIeA","ini biblis pacarnya vanesha angel??",0,2019-11-07 11:21:36,2019-11-07 11:21:36,1
"43","Beela Shabeela","https://yt3.ggpht.com/a/AGF-l7_uh3bWaiSn6zbe5MmJUtnRjfEtPoIp9y6yoQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-ebkHEDEEZclSlY_Go6F0w","tropicana slim memang terbaik soal web series ga sabar lanjutannya ",18,2019-11-07 11:17:06,2019-11-07 11:17:06,1
"44","Muhamad Farhan","https://yt3.ggpht.com/a/AGF-l7-soU8NjBFmkZXKwhKmQE0rQh_PHIRB6nn5xw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnUshHUMApSPC84JO_O2C2g","rasa itu bahasa hati mengungkapkannya tak melulu mengucapkannya ",8,2019-11-07 11:17:01,2019-11-07 11:17:01,1
"45","Riska Martini","https://yt3.ggpht.com/a/AGF-l78UENynOrPquhj-g1SoeCOa_nOx7VUXmZ9YvA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQXnINsWXF-uBA-rqoy0PFQ","yatuhan keren bangett ditunggu episode selanjutnyaa",1,2019-11-07 11:04:33,2019-11-07 11:04:33,1
"46","nadhira tasya","https://yt3.ggpht.com/a/AGF-l79_QXSyyMx2MzZpDOOZ_9mLrPSMGFOU1tAXWw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2IrJwSyPa6-EBbJyReDlmg","wah mantapni ada lagi",0,2019-11-07 11:03:03,2019-11-07 11:03:03,1
"47","Yuliagustri anrizaymerta","https://yt3.ggpht.com/a/AGF-l7-TNw78agY2JF6EcE_-fF34_l2MGjtC7hYB=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyFPtbOiVdEqVDEu--WR59A","teman tuli ",2,2019-11-07 11:02:08,2019-11-07 11:02:08,1
"48","surilestari","https://yt3.ggpht.com/a/AGF-l78X8q3rrl8t6u1Ntf4Saj21r18ehikGuaIbSQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChMXFQ574htlg-h90KFnz6g","arghhhh jgn siksa kami dgn durasi pendek gini lagi pleaseeeeee   penantian episode selanjutnya dimulai ",4,2019-11-07 10:57:56,2019-11-07 10:57:56,1
"49","ERVAN FURIYANTO","https://yt3.ggpht.com/a/AGF-l79KLrpdpXvS4WQE5A826TCAV35v7C4mPoJMXQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJRhNWuR2mOuPugsOGUKAPg","addict",0,2019-11-07 10:55:30,2019-11-07 10:55:30,1
"50","Kuncoro Ali","https://yt3.ggpht.com/a/AGF-l7_Gu99Qc4yys8lxebsjTAx5-CsDZCDNejt2HQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCzxim-KQ2PPlIE1Khcf8EZA","perlahan tapi nagih ni",1,2019-11-07 10:54:00,2019-11-07 10:54:00,1
"51","sang perindu","https://yt3.ggpht.com/a/AGF-l7_ySU-igpJR3dzJExudPksDsy6fukXt-AdvTg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmoMoEiMxELHrXeKPdSPqLg","bentar banget kyak liat story wa  tpi ngena sihh pesannya",7,2019-11-07 10:52:56,2019-11-07 10:52:56,1
"52","A Gonang","https://yt3.ggpht.com/a/AGF-l78gRPYSwSt8JTW0-Jwf2WsLSd0cBMg-xaVTxw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCoj22zQcSD9HZ5IrsWCn1nQ","singkat tapi ngena",0,2019-11-07 10:50:13,2019-11-07 10:50:13,1
"53","Alvian Ramadana","https://yt3.ggpht.com/a/AGF-l7_grkXMgSTBrVIenW-kWPBtLQzJbLYSIA9Ihg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCnqt4bm1M0phy1CIoILBiGA","bukan produksi cerita film ya",0,2019-11-07 10:49:04,2019-11-07 10:49:04,1
"54","Dadang Hermawan","https://yt3.ggpht.com/a/AGF-l7-FWkW1dkWKEiPDxmCe_1xRUY29pscdDCqw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3a6dQfceHuCRu5SsrskMDA","no 2 comment ",1,2019-11-07 10:47:35,2019-11-07 10:47:35,1
"55","Elda Farah","https://yt3.ggpht.com/a/AGF-l7-zdcSr-5OZuFm16MAkP8LWY9r688VIRKJauA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCm6I192G3o7Wa0NVzDh-CQg","liat notif web seriesnya mulai auto klik selalu suka sm webseries dari tropicana slim u2665 ufe0f ",1,2019-11-07 10:47:11,2019-11-07 10:47:11,1
"56","raph","https://yt3.ggpht.com/a/AGF-l7-11QLR0b95vDPzcAv0eZgOD5xijjnGa_yHpg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCVZ7kPA4fQ3vsk-0NeuBZTQ","nani",0,2019-11-07 10:46:46,2019-11-07 10:46:46,1
"57","Pelerion Jaya","https://yt3.ggpht.com/a/AGF-l79FtMWqCTb0gDA_ZbBTBAmhMCx9wjcAGLiFuw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtKny-jTagj3XDtzaYs9xoA","sebagus sore kah?",0,2019-11-07 10:46:32,2019-11-07 10:46:32,1
"58","Sunyi Coffee","https://yt3.ggpht.com/a/AGF-l79Wg6bFQWROoyDBRBEIgCTCFYqW_9SGUd140g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkqV2x7C5G4-ekywNwwtS_Q","mini series hasil kolaborasi dengan tropicanaslim dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu  sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan oleh karena itu setiap like pada video ceritasunyi di youtube akan dikonversikan menjadi rp 500 untuk pengembangan sunyi house of coffee and hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi  ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti  tropicanaslim ceritasunyi sahabatsunyi",10,2019-11-09 07:59:03,2019-11-09 07:59:03,2
"59","Putri Ariyani","https://yt3.ggpht.com/a/AGF-l7_N_65Gzoa7ZQVLi6Thz36ft_dftoBVUK6eLA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfvkEzegc0qk3Hv0v3ePRzA","kelanjutannnya manaaaaa",0,2019-11-29 08:33:47,2019-11-29 08:33:47,2
"60","Emil Dadak","https://yt3.ggpht.com/a/AGF-l79hQgCp9QDiAQJywCxsaHZVjkr-zaz_6YUxjQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCHD_a_pKm6DGoF8WNLt0_Sg","nice",0,2019-11-14 06:19:35,2019-11-14 06:19:35,2
"61","Michelle Naomi","https://yt3.ggpht.com/a/AGF-l79Zw56707ibT1HHIBnW2YydEaIrRSmINsvQwQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCXYeK8UYC2wBE8qDeELQqjA","kenapa sih durasinya ",0,2019-11-10 15:28:22,2019-11-10 15:28:22,2
"62","Bernard Sibarani","https://yt3.ggpht.com/a/AGF-l793Ud_9dRi6okn5_NpbeBr5KGWB4AP1x9I_PQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUZRDeZ0uOsQsjHsk5T6E2Q","nice jadi pgn belajar isyarat",0,2019-11-10 14:05:36,2019-11-10 14:05:36,2
