"","id","banyak_calon_resp","berapa_hari"
"403",403,4208,131
"404",404,4163,129
"405",405,5147,158
"406",406,3719,114
"407",407,4782,147
"408",408,4795,149
"409",409,4831,151
"410",410,4426,137
"411",411,3883,120
"412",412,5531,171
"413",413,4917,152
"414",414,5189,161
"415",415,3815,118
"416",416,4405,138
"417",417,4632,144
"418",418,5544,169
"419",419,4415,139
"420",420,4415,135
"421",421,4277,135
"422",422,4529,140
"423",423,5124,156
"424",424,4808,147
"425",425,4217,133
"426",426,4627,141
"427",427,4216,128
"428",428,3834,117
"429",429,4958,153
"430",430,4338,135
"431",431,4727,147
"432",432,4855,151
"433",433,4369,135
"434",434,4768,147
"435",435,4104,128
"436",436,5283,163
"437",437,4927,153
"438",438,3432,108
"439",439,4515,138
"440",440,3432,106
"441",441,4257,129
"442",442,5521,170
"443",443,4621,142
"444",444,4364,135
"445",445,4475,138
"446",446,4691,144
"447",447,6240,191
"448",448,4133,128
"449",449,4096,125
"450",450,4204,131
"451",451,4313,132
"452",452,4470,137
"453",453,4242,131
"454",454,4745,148
"455",455,4248,132
"456",456,4051,125
"457",457,4628,143
"458",458,3966,123
"459",459,4964,152
"460",460,4425,137
"461",461,5262,158
"462",462,4844,151
"463",463,5214,162
"464",464,4702,146
"465",465,4794,152
"466",466,4376,136
"467",467,4561,140
"468",468,4677,146
"469",469,4446,138
"470",470,4445,137
"471",471,5167,159
"472",472,4170,130
"473",473,5152,159
"474",474,4807,148
"475",475,5086,158
"476",476,4287,132
"477",477,5303,164
"478",478,4382,138
"479",479,4959,156
"480",480,4355,135
"481",481,4564,140
"482",482,3301,101
"483",483,4079,125
"484",484,4737,148
"485",485,4821,150
"486",486,5263,162
"487",487,4070,125
"488",488,4110,125
"489",489,4930,154
"490",490,4451,133
"491",491,4249,130
"492",492,4088,127
"493",493,4181,130
"494",494,4821,151
"495",495,4263,132
"496",496,5444,170
"497",497,3872,122
"498",498,4850,147
"499",499,5235,163
"500",500,5470,170
