"","id","banyak_calon_resp"
"157",157,4605
"158",158,3857
"159",159,4401
"160",160,5271
"161",161,5321
"162",162,4314
"163",163,4733
"164",164,4212
"165",165,5557
"166",166,4062
"167",167,4078
"168",168,4291
"169",169,4331
"170",170,4229
"171",171,4436
"172",172,4479
"173",173,5151
"174",174,5311
"175",175,4059
"176",176,4545
"177",177,4082
"178",178,4285
"179",179,5374
"180",180,4091
"181",181,5100
"182",182,4463
"183",183,3954
"184",184,4491
"185",185,4260
"186",186,4493
"187",187,4570
"188",188,3961
"189",189,4715
"190",190,3938
"191",191,5339
"192",192,3819
"193",193,3205
"194",194,4949
"195",195,3832
"196",196,4629
"197",197,4686
"198",198,4367
"199",199,4169
"200",200,5642
"201",201,4224
"202",202,4914
"203",203,4741
"204",204,4036
"205",205,4188
"206",206,5353
"207",207,4136
"208",208,4250
"209",209,4813
"210",210,4659
"211",211,4357
"212",212,4347
"213",213,4546
"214",214,4774
"215",215,4609
"216",216,4535
"217",217,3779
"218",218,4981
"219",219,5167
"220",220,4934
"221",221,4028
"222",222,4536
"223",223,3739
"224",224,5056
"225",225,4843
"226",226,4087
"227",227,4130
"228",228,5260
"229",229,5163
"230",230,5154
"231",231,4445
"232",232,4775
"233",233,3921
"234",234,3513
"235",235,4571
"236",236,4667
"237",237,4067
"238",238,4013
"239",239,4836
"240",240,4785
"241",241,3925
"242",242,5262
"243",243,5103
"244",244,3554
"245",245,4126
"246",246,4507
"247",247,4645
"248",248,4095
"249",249,3888
"250",250,4642
"251",251,4979
"252",252,5130
"253",253,4197
"254",254,3703
"255",255,4223
"256",256,4488
"257",257,4062
"258",258,5309
"259",259,5141
"260",260,4119
"261",261,4076
"262",262,3975
"263",263,4437
"264",264,4274
"265",265,4756
"266",266,4714
"267",267,4469
"268",268,4506
"269",269,4152
"270",270,4425
"271",271,4521
"272",272,4180
"273",273,3375
"274",274,5124
"275",275,5258
"276",276,3314
"277",277,4794
"278",278,3793
"279",279,3902
"280",280,4689
"281",281,5350
"282",282,4506
"283",283,4028
"284",284,5087
"285",285,5022
"286",286,4486
"287",287,4507
"288",288,4227
"289",289,5024
"290",290,4234
"291",291,4778
"292",292,4432
"293",293,3412
"294",294,4590
"295",295,4086
"296",296,4456
"297",297,5024
"298",298,5122
"299",299,4235
"300",300,4189
"301",301,4647
"302",302,4469
"303",303,4362
"304",304,4393
"305",305,3491
"306",306,4195
"307",307,4359
"308",308,4774
"309",309,5078
"310",310,4971
"311",311,4854
"312",312,5007
"313",313,3989
"314",314,4726
"315",315,4244
"316",316,3556
"317",317,4245
"318",318,5159
"319",319,4824
"320",320,4272
"321",321,4120
"322",322,4908
"323",323,5068
"324",324,4174
"325",325,5013
"326",326,4397
"327",327,4726
"328",328,4530
"329",329,4471
"330",330,4228
"331",331,5217
"332",332,3703
"333",333,4098
"334",334,4299
"335",335,5143
"336",336,3972
"337",337,5162
"338",338,3932
"339",339,4366
"340",340,4903
"341",341,5145
"342",342,4330
"343",343,4630
"344",344,4020
"345",345,4932
"346",346,4960
"347",347,3695
"348",348,4755
"349",349,4525
"350",350,4843
"351",351,3752
"352",352,4278
"353",353,3643
"354",354,4534
"355",355,4176
