"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"42",42,"PT. Anugerah Citra Mulia","ANUGERAH WISATA","Cervino Village Apartment, Mezzanine Unit C. Jl. Kh. Abdullah Syafe'i Kav.27 Rt.18/01 Casablanca, Tebet, Jakarta Selatan, DKI Jakarta, 12810",NA,"https://himpuh.or.id/daftar-anggota/detail/17/pt-anugerah-citra-mulia"
"43",43,"PT. Anugerah Quba Mandiri","AQM Tour","Jl. S. Parman No. 17 Tanah Fatah, Ratu Agung, Ratu Agung, Bengkulu, Bengkulu, 38224",NA,"https://himpuh.or.id/daftar-anggota/detail/276/pt-anugerah-quba-mandiri"
"44",44,"PT. Anugerah Zarfin Tour & Travel","ANUGERAH ZARFIN TOUR & TRAVEL","Jl. Kol. Burlian Km. 6 No. 4, Alang-Alang Lebar, Palembang, Sumatera Selatan, 30151",NA,"https://himpuh.or.id/daftar-anggota/detail/288/pt-anugerah-zarfin-tour-travel"
"45",45,"PT. Arfina Margi Wisata","AL AZHAR TOUR & TRAVEL","Jl. Ciledug Raya No. 123a, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12230",NA,"https://himpuh.or.id/daftar-anggota/detail/99/pt-arfina-margi-wisata"
"46",46,"PT. Arhas Bugis Tour & Travel","ARHAS TRAVEL","Jl. Lingkar Luar Kamal Raya, Mall Taman Palem Ruko 26, Cengkareng, Cengkareng, Jakarta Barat, DKI Jakarta, 11730",NA,"https://himpuh.or.id/daftar-anggota/detail/345/pt-arhas-bugis-tour-travel"
"47",47,"PT. Arie Tour & Travel","ARIE TOUR & TRAVEL","Jl. Chairil Anwar Blok B No. 12, Babelan, Bekasi, Jawa Barat, 17113",NA,"https://himpuh.or.id/daftar-anggota/detail/203/pt-arie-tour-travel"
"48",48,"PT. Armada Safari Suci","SAFARI SUCI","Jl. Taman Ciarum No. 11, Arjasari, Bandung, Jawa Barat, 40115",NA,"https://himpuh.or.id/daftar-anggota/detail/19/pt-armada-safari-suci"
"49",49,"PT. Armina Mabror","PT. ARMINA MABROR","Jl. Imam Bonjol No. 76, Sanan Wetan, Blitar, Jawa Timur, 43228",NA,"https://himpuh.or.id/daftar-anggota/detail/294/pt-armina-mabror"
"50",50,"PT. Arnussaid Tour & Travel","ARNUSSA TOUR","Jl. Bendungan Hilir Iv No. 18, Tanah Abang, Jakarta Pusat, DKI Jakarta, 10210",NA,"https://himpuh.or.id/daftar-anggota/detail/149/pt-arnussaid-tour-travel"
"51",51,"PT. Arrayyan Utama","ARRAYYAN UTAMA","Wisma Bsg Jl. Abdul Muis No. 40, Gambir, Jakarta Pusat, DKI Jakarta, 10160",NA,"https://himpuh.or.id/daftar-anggota/detail/21/pt-arrayyan-utama"
